serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0,9891.0
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,3584.0
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,8723.0
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,12903.0
0,0.040795358,49,0,0.8019993549999997,3100.0,11,0,1,0,0.0,10417.0
0,0.008632034999999998,79,0,0.365151154,4200.0,9,0,1,0,0.0,8723.0
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,9891.0
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,2206.0
0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0,9000.0
0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,10333.0
0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0,3717.0
0,0.114869499,35,0,103.0,2660.0,6,0,0,0,0.0,2660.0
0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0.0,0.0
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0,6250.0
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0,3913.0
0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0,7916.0
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0,7200.0
0,0.333060631,52,3,0.7001533740000001,5215.0,15,0,2,1,0.0,3750.0
1,1.9534883719999998,38,0,0.153500141,3556.0,5,0,0,0,2.0,3717.0
0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0,8333.0
0,0.034833091000000004,67,0,0.460246187,12916.0,9,0,2,0,0.0,28306.0
0,0.7875221329999998,52,0,0.353860086,4416.0,12,0,0,0,1.0,1300.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0,10160.0
0,0.9999999,28,0,0.0,2636.0,0,0,0,0,0.0,2636.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0,1700.0
0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0.0,2636.0
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0,7200.0
0,0.6343270560000001,49,1,0.123125125,15000.0,7,0,0,0,1.0,3614.0
0,0.0,63,0,0.007988921999999999,9387.0,9,0,0,0,0.0,2800.0
0,0.027446383,54,0,1612.0,6210.0,6,0,1,0,0.0,6210.0
0,0.046710961,66,0,1.117952819,2500.0,12,0,1,0,0.0,4300.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0,2800.0
0,0.29264536,57,0,0.205927884,26484.0,11,0,2,0,3.0,9891.0
0,0.048244493,62,0,0.26287915300000003,16615.0,11,0,1,0,1.0,10417.0
0,0.21938287899999998,56,1,942.0,8723.0,9,0,1,0,1.0,8723.0
0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0,10333.0
0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0,3717.0
0,0.8654230509999998,48,0,0.07584830299999999,500.0,1,0,0,0,0.0,6200.0
0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0,10417.0
0,0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0.0,3717.0
0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0,10370.0
0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0,4250.0
0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0,2206.0
0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0,8300.0
0,0.0164781,92,0,10.0,2206.0,3,0,0,0,0.0,2206.0
0,0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0.0,9000.0
0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0,3750.0
0,0.7275600209999998,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0,6210.0
0,0.6877790970000001,62,0,0.24947116100000002,7090.0,15,0,0,0,0.0,8500.0
0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0,6250.0
0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0,2800.0
0,0.072318616,71,0,0.4264124620000001,4300.0,8,0,2,0,1.0,12970.0
1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0,6210.0
0,0.0,47,0,773.0,2751.0,2,0,1,0,1.0,2751.0
0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0,8723.0
0,0.0,58,0,8380.0,16333.0,20,0,5,0,0.0,16333.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0,7200.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0,9000.0
0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0,4300.0
0,0.457526639,51,0,0.333583302,8000.0,16,0,2,0,2.0,4500.0
0,0.502958087,57,0,6381.0,5989.0,5,0,2,0,0.0,5989.0
0,0.060733396,61,0,0.008549573000000001,20000.0,8,0,0,0,0.0,8300.0
0,0.000685675,83,0,0.0,6250.0,4,0,0,0,0.0,6250.0
0,0.7424360409999998,52,0,0.414081023,9700.0,10,0,2,0,0.0,4250.0
0,0.006666096999999999,27,0,0.000268637,7444.0,5,0,0,0,0.0,3717.0
0,0.9999999,35,1,0.092985318,3064.0,1,0,0,0,3.0,6200.0
0,0.17948776600000002,51,0,0.492529978,10173.0,19,0,4,0,0.0,112000.0
0,0.026885902000000003,36,0,0.34487992100000003,11200.0,6,0,2,0,2.0,4830.0
0,0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0.0,10417.0
0,0.353017659,48,0,1.299736021,4166.0,17,0,1,0,1.0,11105.0
0,0.032769199,70,0,724.0,10417.0,11,0,1,0,0.0,10417.0
1,0.733885463,49,2,0.369223765,8785.0,20,0,2,0,2.0,4903.0
0,0.063514422,57,0,2221.5,1.0,12,0,2,0,0.0,8000.0
0,0.397702982,38,0,0.41627543,5750.0,6,0,1,0,2.0,6210.0
0,0.9999999,79,0,0.130140954,5178.0,6,0,1,0,0.0,6210.0
0,0.686083014,57,0,0.16069592,11667.0,6,1,1,0,2.0,6210.0
0,0.014310431,56,0,13.0,3584.0,2,0,0,0,0.0,3584.0
0,0.026944485,41,0,0.686736475,4583.0,8,0,3,0,0.0,8000.0
0,0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0.0,8723.0
0,0.2436742660000001,48,0,0.179979778,8900.0,10,0,1,0,6.0,10370.0
0,0.799981673,61,3,0.671076012,5064.0,19,0,3,1,0.0,9825.0
0,0.069987933,33,0,0.11400478300000001,3762.0,7,0,0,0,0.0,3614.0
0,0.9999999,32,2,0.095584668,2060.0,1,0,0,0,0.0,6200.0
0,0.003625197,78,0,726.0,8333.0,8,0,1,0,0.0,8333.0
0,0.0,37,0,0.177007047,7236.0,5,0,1,0,3.0,5000.0
0,0.05786766700000001,81,0,0.145685279,3939.0,13,0,0,0,0.0,3913.0
1,0.9999999,32,0,0.006731051,3416.0,1,0,0,0,3.0,6200.0
0,0.07339345699999998,38,1,0.384761524,10000.0,9,0,2,0,0.0,28306.0
0,0.079178219,82,0,0.176964607,5000.0,3,0,1,0,0.0,7200.0
0,0.354125994,57,0,0.558762411,4330.0,4,0,1,0,0.0,0.0
0,0.015054291,59,0,929.0,10417.0,11,0,1,0,2.0,10417.0
0,0.0,27,2,0.229139073,2264.0,5,2,0,1,0.0,3717.0
0,0.993335555,31,0,0.068227425,4484.0,6,0,0,0,1.0,2660.0
0,0.183676155,33,0,0.6605284229999999,2497.0,9,0,1,0,0.0,8723.0
0,0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1.0,6250.0
0,0.290320472,48,0,0.262848568,7996.0,7,0,1,0,3.0,7203.0
0,0.412657703,66,1,0.195074372,4100.0,7,1,0,0,0.0,3614.0
1,0.913140498,37,2,1.620344914,4000.0,16,0,3,0,1.0,8583.0
0,0.065630892,31,0,0.162635688,5250.0,10,0,0,0,0.0,3000.0
0,0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0.0,8333.0
0,0.289470539,44,0,0.4825614,8916.0,17,0,2,0,1.0,10160.0
0,0.016406971,55,0,0.001785714,5599.0,3,0,0,0,2.0,2206.0
0,0.029692431,58,2,0.287187752,6204.0,19,0,1,0,0.0,15480.0
0,0.01255887,62,0,0.044762033,7416.0,5,0,0,0,0.0,3717.0
0,0.062093267,42,0,0.230261579,8333.0,6,0,1,0,4.0,6210.0
0,0.074201053,47,0,1215.0,0.0,4,0,1,0,0.0,0.0
0,0.551889862,42,1,0.790613718,3600.0,18,0,2,0,1.0,4588.0
1,0.640058527,39,0,0.055984556,9841.0,9,0,0,0,2.0,2800.0
0,0.0,64,0,3819.0,8245.0,3,0,2,0,0.0,8245.0
0,0.08663540900000001,40,0,887.0,0.0,8,0,1,0,1.0,8333.0
0,0.329609837,36,0,0.437743191,3597.0,16,0,2,0,2.0,4500.0
0,0.084826988,59,0,0.53418212,3612.0,9,0,2,0,0.0,28306.0
0,0.9999999,45,0,461.0,3584.0,2,0,0,0,0.0,3584.0
0,0.0,30,0,0.0,4700.0,1,0,0,0,1.0,6200.0
0,0.277436128,59,0,0.388566694,3620.0,8,0,1,0,1.0,8333.0
0,0.285342534,38,0,0.08951092,3250.0,4,0,0,0,3.0,6250.0
0,0.162077194,38,0,0.024885359,70000.0,6,0,1,0,2.0,6210.0
0,0.03929607,48,0,0.480393478,7420.0,10,0,2,0,0.0,4250.0
0,0.9999999,40,0,0.185755935,2400.0,1,2,0,0,0.0,6200.0
0,0.8362940109999999,29,3,0.26017007600000003,4350.0,8,0,1,0,1.0,8333.0
0,0.29304181100000004,45,0,0.373940678,3775.0,5,0,1,0,3.0,5000.0
0,0.271898248,64,0,556.0,7200.0,3,0,1,0,0.0,7200.0
0,0.0,51,0,0.238076192,10000.0,6,0,1,0,0.0,6210.0
1,0.517045364,61,0,0.5725903210000001,7500.0,20,0,2,0,0.0,4903.0
0,0.269257489,44,0,0.607594937,1500.0,7,0,0,0,3.0,3614.0
0,0.019153961,49,0,0.201025979,33333.0,6,0,3,0,4.0,5250.0
0,0.095634788,36,0,0.17526690399999995,2247.0,4,0,0,0,1.0,6250.0
0,0.124801376,62,0,0.5668944570000001,6584.0,15,0,2,0,0.0,3750.0
0,0.086605363,69,0,73.0,3584.0,2,0,0,0,0.0,3584.0
0,0.024305835,30,0,1581.0,6210.0,6,0,1,0,0.0,6210.0
0,0.0,56,0,0.0,6200.0,2,0,0,0,0.0,3584.0
0,0.007712359,69,0,0.15661446199999998,3000.0,6,0,0,0,0.0,2660.0
1,0.314685703,51,3,0.160317928,16984.0,13,0,2,1,4.0,9000.0
0,0.0,33,0,0.238212526,2841.0,9,0,0,0,0.0,2800.0
0,0.133688867,49,0,0.09352218300000001,4800.0,7,0,0,0,2.0,3614.0
0,0.321457844,46,2,1434.0,6210.0,6,0,1,1,0.0,6210.0
0,0.035605591,81,0,0.017260735,7125.0,7,0,0,0,0.0,3614.0
1,0.990764426,36,2,0.361340457,4117.0,4,0,0,0,1.0,6250.0
0,0.023114333,64,0,0.513540291,9083.0,16,0,3,0,0.0,8583.0
0,0.359412083,54,0,3.874422899,1082.0,22,0,1,0,0.0,8420.0
0,0.106517279,40,0,0.263151915,8800.0,17,0,3,0,4.0,5800.0
0,0.07953842,53,0,2958.0,8723.0,9,0,1,0,2.0,8723.0
0,0.003938695,75,0,0.199949219,7876.0,11,0,2,0,0.0,9891.0
0,0.520418652,36,1,0.232918082,2648.0,5,0,0,0,3.0,3717.0
0,0.009639594,52,0,0.262440354,4400.0,5,0,0,0,0.0,3717.0
0,0.986400389,36,0,0.441868921,11000.0,8,0,2,0,0.0,12970.0
0,0.0,76,0,272.0,0.0,6,0,0,0,0.0,2660.0
0,0.476535633,33,0,0.312937413,5000.0,4,0,1,0,0.0,0.0
0,0.018497695,40,0,64.0,3913.0,13,0,0,0,0.0,3913.0
0,0.013574112,60,0,0.711075819,17000.0,11,0,3,0,0.0,4000.0
0,0.011904653,69,0,1653.0,4903.0,20,0,2,0,0.0,4903.0
0,0.0,39,0,0.735131912,6708.0,13,0,2,0,2.0,9000.0
0,0.060867801,50,1,3074.0,7333.0,15,0,1,0,0.0,7333.0
0,0.473663158,36,1,0.650674663,2000.0,8,0,0,0,0.0,8300.0
0,0.880239982,41,0,1290.0,2660.0,6,0,0,0,2.0,2660.0
0,0.0,63,0,0.052672049000000006,2600.0,3,0,0,0,1.0,2206.0
0,0.0,62,0,17.0,6250.0,4,0,0,0,0.0,6250.0
0,0.025711593,55,0,0.540702656,3500.0,8,0,1,0,2.0,8333.0
0,0.9015098490000002,33,1,0.128132981,23100.0,8,1,1,0,0.0,8333.0
0,0.228591229,38,1,0.181233062,2951.0,4,0,0,0,0.0,6250.0
0,0.0,58,0,526.0,5000.0,5,0,1,0,1.0,5000.0
0,0.059183801,26,0,0.067061144,1520.0,7,0,0,0,0.0,3614.0
0,0.014688043000000001,82,0,13.0,6250.0,4,0,0,0,0.0,6250.0
0,0.019415751,62,0,1203.0,8723.0,9,0,1,0,0.0,8723.0
0,0.716283716,46,0,0.26775232,5280.0,10,0,2,0,2.0,4250.0
0,0.004680652,29,0,0.057388522,5000.0,4,0,0,0,0.0,6250.0
0,0.014646523,26,0,0.121568627,1274.0,7,0,0,0,0.0,3614.0
0,0.994428754,42,0,2336.0,0.0,11,0,2,0,3.0,9891.0
0,0.35407131,51,0,0.053521541,6800.0,5,0,0,0,0.0,3717.0
0,0.020390558,79,0,0.22586133600000002,2350.0,5,0,0,0,0.0,3717.0
0,0.04564894,27,0,0.274952015,4167.0,21,0,1,0,0.0,6300.0
0,0.16022678699999998,31,0,0.356018715,2350.0,5,0,0,0,0.0,3717.0
0,0.9999999,24,0,0.0,3833.0,1,0,0,0,0.0,6200.0
0,0.040536902,34,0,0.644091034,3646.0,11,0,1,0,0.0,10417.0
0,0.013375668,82,0,0.002606106,8057.0,7,0,0,0,0.0,3614.0
0,0.19877594,83,0,0.217065334,2800.0,9,0,0,0,0.0,2800.0
0,0.715720439,33,0,1.002499107,2800.0,8,0,2,0,0.0,12970.0
0,0.011343376,85,0,13.0,3717.0,5,0,0,0,0.0,3717.0
0,0.524915836,32,0,969.0,2660.0,6,0,0,0,0.0,2660.0
0,0.001876594,79,0,0.01332778,2400.0,10,0,0,0,0.0,3000.0
0,0.0,63,0,779.0,6210.0,6,0,1,0,0.0,6210.0
0,0.001901275,69,0,0.0,5455.0,6,0,0,0,0.0,2660.0
0,0.328684508,51,0,1874.0,6210.0,6,0,1,0,0.0,6210.0
1,0.7787194979999998,81,0,0.53801306,4287.0,11,0,2,0,0.0,9891.0
0,0.0,58,0,0.411084131,7000.0,10,0,2,0,1.0,4250.0
0,0.276593085,62,0,0.121835693,19000.0,8,0,1,0,0.0,8333.0
0,0.035754761,79,0,0.00829363,5666.0,5,0,0,0,1.0,3717.0
0,0.231979494,58,0,0.373801016,10633.0,28,0,4,0,0.0,5000.0
0,0.041411471,45,0,0.008456176,8750.0,3,0,0,0,3.0,2206.0
0,0.606025418,39,3,0.375647341,7916.0,10,0,2,0,2.0,4250.0
0,0.075168462,48,0,1421.0,7200.0,3,0,1,0,0.0,7200.0
0,0.7990182709999999,30,0,1.298161471,1250.0,4,0,1,0,0.0,0.0
0,0.011505437,52,0,0.274253271,4050.0,9,0,1,0,0.0,8723.0
0,0.8191157839999998,54,0,0.528381219,2853.0,7,0,1,0,0.0,7203.0
0,0.12254432400000001,57,0,0.42893401,4333.0,9,0,1,0,1.0,8723.0
0,2.258964143,33,2,0.032483758,2000.0,1,1,0,0,2.0,6200.0
0,0.037379559,37,0,0.333851794,9000.0,11,0,2,0,0.0,9891.0
0,0.020480494,35,0,1673.0,10370.0,10,0,1,0,1.0,10370.0
0,0.707145775,64,0,3930.0,9000.0,13,0,2,0,0.0,9000.0
0,0.288592785,51,0,0.226213976,10131.0,4,0,2,0,3.0,7916.0
0,0.17545213,55,2,0.27018019,9600.0,11,0,2,0,0.0,9891.0
0,0.00069993,83,0,0.0,10500.0,4,0,0,0,0.0,6250.0
0,0.610408703,41,1,0.06441717799999999,2933.0,7,0,0,0,2.0,3614.0
0,0.15364667699999998,34,0,1.220066377,3916.0,7,0,2,0,0.0,9000.0
0,0.0,35,0,0.0,1500.0,3,0,0,0,0.0,2206.0
0,0.015644566999999998,77,0,24.0,3717.0,5,0,0,0,0.0,3717.0
0,0.946508915,44,0,0.148162041,2665.0,5,0,0,0,1.0,3717.0
0,0.016658432,53,0,0.31518720100000003,9000.0,6,0,1,0,0.0,6210.0
0,0.475841386,43,0,0.198811453,1850.0,2,0,0,0,3.0,3584.0
0,0.061439281,58,0,0.498692509,6500.0,19,0,4,0,1.0,112000.0
0,0.527904017,67,0,486.0,0.0,4,0,1,0,0.0,0.0
0,0.077910174,82,0,162.0,3584.0,2,0,0,0,0.0,3584.0
0,0.256314605,58,3,1.511162946,3000.0,24,0,2,0,0.0,3333.0
0,0.7491335640000002,50,2,0.432119554,4750.0,17,0,1,0,0.0,11105.0
0,0.212785199,37,1,106.2727273,21.0,6,0,2,0,4.0,4830.0
0,0.7003310509999999,45,1,0.546448087,8966.0,11,0,2,0,1.0,9891.0
0,0.0,26,0,346.0,8300.0,8,0,0,0,0.0,8300.0
1,0.8782454979999998,40,0,0.18141723,3400.0,5,0,0,0,1.0,3717.0
0,0.275946359,57,1,0.283411686,13400.0,10,0,1,0,0.0,10370.0
0,0.9999999,60,1,10.17127624,3000.0,4,0,1,1,0.0,0.0
0,0.181442474,32,0,0.067877957,8750.0,2,0,0,0,0.0,3584.0
0,0.093632815,68,0,0.306846806,4366.0,6,0,2,0,0.0,4830.0
0,0.02403549,63,0,19.0,3584.0,2,0,0,0,0.0,3584.0
0,0.9999999,42,0,0.217236784,2250.0,1,0,0,0,2.0,6200.0
0,0.383952208,35,0,0.4985667620000001,15000.0,18,0,2,0,0.0,4588.0
0,0.284499685,66,0,1408.0,8300.0,8,0,0,0,1.0,8300.0
0,0.258812185,35,0,3947.0,0.0,4,0,1,0,0.0,0.0
0,0.9999999,27,0,0.153061224,2253.0,3,0,0,0,0.0,2206.0
0,0.034384238,84,0,51.0,3000.0,10,0,0,0,0.0,3000.0
0,0.012538557,63,0,0.38510101,2375.0,12,0,2,0,0.0,8000.0
1,0.232226657,59,6,6.094452774,2000.0,16,2,1,2,1.0,9000.0
0,0.520689428,68,3,0.7773704379999998,6000.0,9,0,3,0,0.0,18500.0
0,0.223967181,49,0,1632.0,8333.0,8,0,1,0,0.0,8333.0
0,0.220201834,34,0,0.462354974,4050.0,10,0,2,0,1.0,4250.0
0,0.148225606,63,0,1313.0,9891.0,11,0,2,0,0.0,9891.0
0,0.68028326,80,0,0.42985336,4568.0,6,0,1,0,0.0,6210.0
0,0.012987013,22,0,0.0,0.0,2,0,0,0,0.0,3584.0
0,0.247135843,34,0,0.090524087,5666.0,3,0,0,0,1.0,2206.0
1,0.0007379799999999998,41,0,0.493126718,4000.0,4,0,1,0,2.0,0.0
0,0.0,87,0,0.067381539,6900.0,4,0,0,0,1.0,6250.0
0,0.0,37,0,0.372395469,7150.0,3,0,2,0,2.0,8245.0
0,0.28927034,48,0,0.691654173,2000.0,7,0,1,0,2.0,7203.0
0,0.223677632,67,0,0.326283407,5200.0,4,0,1,0,2.0,0.0
0,0.077246781,32,0,0.36842105299999994,4084.0,7,0,1,0,0.0,7203.0
0,0.966275454,37,0,0.683523654,4290.0,8,0,1,0,2.0,8333.0
0,0.9604313980000002,63,0,0.31506036,5052.0,3,0,1,0,1.0,7200.0
0,0.12347136199999999,63,0,0.364188164,2635.0,6,0,1,0,1.0,6210.0
0,0.083766009,53,0,0.34210815,9116.0,6,0,2,0,1.0,4830.0
0,0.009917446,64,0,0.447430975,5468.0,12,0,2,0,0.0,8000.0
0,0.135042385,71,0,0.017903057,10500.0,14,0,0,0,0.0,1583.0
0,0.26735262600000004,72,0,0.426685865,4166.0,10,0,2,0,0.0,4250.0
0,0.8017645439999997,35,1,0.430314406,2130.0,5,0,0,1,2.0,3717.0
0,0.001759965,46,0,0.21468823899999998,5500.0,5,0,1,0,2.0,5000.0
0,0.9999999,38,1,17.0,6200.0,1,0,0,0,0.0,6200.0
0,0.0,45,1,0.012529992,3750.0,8,0,0,0,3.0,8300.0
0,0.941447055,54,0,1.843949701,4850.0,15,0,4,0,1.0,7480.0
0,0.12035579099999999,59,0,0.151986183,11000.0,10,0,2,0,0.0,4250.0
0,0.247597087,56,0,0.702749471,5200.0,8,0,1,0,2.0,8333.0
1,0.902797114,45,3,2788.0,8333.0,8,2,1,2,0.0,8333.0
0,0.537344212,57,0,0.627822789,5800.0,19,0,1,0,0.0,15480.0
0,0.9999999,82,0,0.0,1400.0,0,0,0,0,0.0,2636.0
0,0.100578252,69,0,2209.0,9891.0,11,0,2,0,2.0,9891.0
0,0.109278443,54,0,1370.0,5000.0,5,0,1,0,0.0,5000.0
0,0.012951764,68,0,1968.0,5000.0,5,0,1,0,0.0,5000.0
0,0.186223251,58,1,0.251769464,8900.0,11,0,1,0,3.0,10417.0
0,0.386875937,48,0,0.11908301800000001,20850.0,19,0,0,0,2.0,4635.0
0,0.126458612,60,0,263.0,3614.0,7,0,0,0,0.0,3614.0
0,0.281812558,79,1,0.304637654,10500.0,16,0,2,0,1.0,4500.0
1,0.08764940199999999,27,0,0.009995457,2200.0,2,0,0,1,1.0,3584.0
0,0.0,43,0,0.0,3584.0,2,0,0,0,0.0,3584.0
0,0.081312065,65,1,315.0,2660.0,6,0,0,0,0.0,2660.0
0,0.041084962,64,0,0.264227981,12000.0,8,0,1,0,0.0,8333.0
1,0.0,36,0,0.157678245,4375.0,7,0,0,0,2.0,3614.0
0,0.096009775,53,0,0.545157068,4583.0,8,0,1,0,1.0,8333.0
0,0.227820379,77,0,0.5549159220000001,6600.0,24,0,2,0,0.0,3333.0
0,0.726759759,55,0,0.65170345,9333.0,9,0,3,0,2.0,18500.0
0,0.0007777599999999998,74,0,0.209539523,13333.0,6,0,3,0,0.0,5250.0
0,0.05841615400000001,29,0,0.299711296,5541.0,10,0,0,0,0.0,3000.0
0,0.006556256,88,0,6.0,3614.0,7,0,0,0,0.0,3614.0
0,0.065421016,56,1,0.23843222600000002,1836.0,9,0,0,0,0.0,2800.0
0,0.9014084509999999,27,0,0.15104398,2250.0,5,0,0,0,0.0,3717.0
0,0.07201814299999999,50,0,1.434782609,2000.0,12,0,1,0,1.0,4300.0
0,0.0,37,0,1.687366167,1400.0,8,0,2,0,0.0,12970.0
1,0.9999999,60,1,0.540617473,4566.0,2,0,1,1,0.0,2751.0
0,0.361682297,41,0,0.19675058,5600.0,9,0,0,0,2.0,2800.0
0,0.040253329,54,0,0.401668012,7433.0,12,0,1,0,2.0,4300.0
0,0.002012856,59,0,1164.0,2751.0,2,0,1,0,0.0,2751.0
0,0.05575925,62,0,0.014802119,6417.0,6,0,0,0,0.0,2660.0
0,0.8749125089999998,46,0,0.302199741,8500.0,4,0,1,0,0.0,0.0
0,0.037273952,63,0,0.953488372,1805.0,8,0,1,0,0.0,8333.0
0,0.082238982,30,0,2065.0,9000.0,7,0,2,0,0.0,9000.0
0,0.07372713,53,0,0.139694329,7000.0,16,0,0,0,0.0,7150.0
0,0.06781117,71,0,0.332303218,5500.0,19,0,2,0,1.0,6574.0
0,0.293687348,31,0,1268.0,3913.0,13,0,0,0,0.0,3913.0
0,0.030153714,58,0,0.003999,4000.0,6,0,0,0,0.0,2660.0
0,0.41461881799999994,70,0,4681.0,9332.0,21,0,2,0,0.0,9332.0
0,0.853239735,62,0,0.48771563,1912.0,4,0,0,0,0.0,6250.0
0,0.004195682,45,1,0.478190226,8000.0,12,0,2,0,1.0,8000.0
1,0.767840152,74,3,0.2964495,2900.0,4,1,0,1,0.0,6250.0
0,0.028458411,54,0,0.21915701,9750.0,22,0,1,0,0.0,8420.0
0,0.845719252,50,0,0.32333833100000003,2000.0,6,0,0,0,1.0,2660.0
0,0.9999999,29,0,0.080187299,6833.0,3,0,0,0,0.0,2206.0
0,0.036422035,30,0,1756.0,1.0,10,0,2,0,0.0,4250.0
