Strike ID,Bureau ID,Date,Time,Location,Area,Target,Target Group,Westerners involved,Minimum Total Killed,Mean Total Killed,Maximum Total Killed,Number of deaths,AQ/TB Killed,Minimum civilians killed,Maximum civilians killed,Civilians Killed,Min injured,Max injured,Injured,Minimum children killed,Max children killed,Children Killed,Pakistani approval,Short Summary,Related ID,Notes
116,Ob107,8/14/10,1/0/00,Issori,North Waziristan,,Pakistan Taliban or Haqqani,,13,13,14,14,1 Taliban commander,7,7,7,5,6,5-6,1,1,,,"Named Taliban commander killed with 12 others in strike on Issori, North Waziristan.",,
117,Ob108,8/21/10,,Qutab Khel,North Waziristan,,,,4,5,6,4-6,,0,4,0-4,2,2,2,,,,,"6 killed, possibly civilians, in attack on car in Kutabkhel, North Waziristan.",,
118,Ob109,8/23/10,,Danda Darpakhel,North Waziristan,,Haqqani,,20,20,20,20,,7,9,10,15,15,15,3,3,3,,"20 killed including 10 civilians in strike that supposedly led to change in CIA tactics. Darga Mandi, North Waziristan.",,
119,Ob110,8/23/10,,Darga Mandi,North Waziristan,,Haqqani,,5,5,7,5-7,,0,0,0,3,12,3,,,,,"5 killed in attack on compound in Derga Mandai, North Waziristan.",,
120,Ob111,8/27/10,1/0/00,Shahidano,Kurram Agency,,,,3,9,9,9,,,,,2,2,At least 2,,,,,9 suspected militants killed in attack on trucks in Kurram Agency.,,
121,Ob112,8/27/10,,Badshah Kot,Kurram Agency,,,,0,0,0,Unknown,,,,Unknown,,,Unknown,,,,,"A strike destroyed a residential compound. No casualty figures are available. Badshah Kot, Kurram Agency",,
122,Ob113,8/27/10,1/0/00,Taaloo Ganj,Kurram Agency,,,,2,3,3,3,,0,3,,,,Unknown,,,,,"3 alleged miltants killed in attack on house in Taaloo Ganj, Kurram Agency.",,
123,Ob114,9/3/10,,Miram Shah,North Waziristan,,,,6,8,9,6-9,,,,,2,3,3,,,,,"6-9 alleged militants killed in attack on house in Miranshah, North Waziristan.",,
124,Ob115,9/3/10,,Datta Khel,North Waziristan,,,,2,3,4,2-4,,,,,2,2,2,,,,,"2-4 killed in strike in Datta Khel, North Waziristan.",,
125,Ob116,9/4/10,,Datta Khel,North Waziristan,,,,7,8,8,8,,,,,12,12,12,,,,,"8 alleged militants killed in attack on vehicle in Datta Khel, North Waziristan.",,
126,Ob117,9/6/10,,Khar Qamar,North Waziristan,,,,3,6,6,6,,,,,1,1,Unknown,,,,,Six alleged militants were killed in an attack on a car. Khar Qamar area of North Waziristan.,,
127,Ob118,9/8/10,,Danda Darpakhel,North Waziristan,,,,5,10,10,10,,4,4,4,2,2,2,4,4,4,,"4 children and 6 alleged militants killed in attack on houses in Danda Darpakhel, North Waziristan.",,
128,Ob119,9/8/10,,Ambar Shaga,North Waziristan,,,,3,4,4,4,,0,4,0-4,1,2,1,,,,,"4 alleged militants killed in strike on car in Ambar Shaga, North Waziristan.",,
129,Ob120,9/8/10,,Danda Darpakhel,North Waziristan,,,,10,10,10,At least 10,,,,,2,5,5,,,,,"2 named militants, including a Briton and Uzbek, killed with 8 others in strike on compound in Danda Darpakhel, North Waziristan.",,
130,Ob121,9/9/10,,Miram Shah,North Waziristan,,IMU,,3,6,6,6,,,,,3,5,5,,,,,"6 alleged militants killed in attack on house in Miranshah, North Waziristan.",,
131,Ob122,9/12/10,1/0/00,Newey Adda,North Waziristan,,,,5,6,7,5-7,,,,,2,3,At least 2,,,,,"7 alleged militants killed in attack on house in Newey Adda, North Waziristan.",,
132,Ob123,9/14/10,1/0/00,Bushnarai,North Waziristan,,,,11,12,12,11-12,,,,Unknown,4,4,4,,,,,"11-12 alleged Haqqani militants killed in strike on house in Bushnarai, North Waziristan.",,
