critic,fresh,imdb,publication,quote,review_date,rtid,title
Susan Stark,rotten,114885.0,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,16697.0,Waiting to Exhale
James Berardinelli,rotten,114885.0,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,16697.0,Waiting to Exhale
Roger Ebert,fresh,114885.0,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,16697.0,Waiting to Exhale
Mike Clark,rotten,113041.0,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,10379.0,Father of the Bride Part II
Michael Wilmington,fresh,113277.0,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,13098.0,Heat
Anthony Lane,fresh,113277.0,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,13098.0,Heat
Steven Rea,rotten,113277.0,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,13098.0,Heat
David Ansen,rotten,113277.0,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,13098.0,Heat
Jonathan Rosenbaum,fresh,113277.0,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,13098.0,Heat
Dave Kehr,fresh,113277.0,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,13098.0,Heat
Jay Boyar,fresh,113277.0,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,13098.0,Heat
John Hartl,fresh,113277.0,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,13098.0,Heat
Todd McCarthy,fresh,113277.0,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,13098.0,Heat
Peter Travers,fresh,113277.0,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,13098.0,Heat
Geoff Andrew,fresh,113277.0,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,13098.0,Heat
Janet Maslin,rotten,113277.0,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,13098.0,Heat
Kenneth Turan,fresh,113277.0,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,13098.0,Heat
Andrew Ross,rotten,113277.0,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,13098.0,Heat
Roger Ebert,fresh,113277.0,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,13098.0,Heat
James Berardinelli,rotten,113277.0,ReelViews,... a colossal disappointment.,2000-01-01,13098.0,Heat
Sean Means,fresh,113277.0,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,13098.0,Heat
Susan Stark,fresh,113277.0,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,13098.0,Heat
Edward Guthmann,fresh,113277.0,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,13098.0,Heat
Andy Spletzer,fresh,113277.0,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,13098.0,Heat
,fresh,47437.0,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,18228.0,Sabrina
Variety Staff,fresh,47437.0,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,18228.0,Sabrina
Dave Kehr,fresh,47437.0,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,18228.0,Sabrina
Derek Adams,fresh,47437.0,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,18228.0,Sabrina
James Berardinelli,fresh,47437.0,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,18228.0,Sabrina
Bosley Crowther,fresh,47437.0,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,18228.0,Sabrina
Susan Wloszczyna,rotten,112302.0,USA Today,A joyless lump.,2000-01-01,11639.0,Tom and Huck
Geoff Andrew,fresh,114576.0,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,15378.0,Sudden Death
Stephen Holden,fresh,114576.0,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,15378.0,Sudden Death
Mick LaSalle,fresh,114576.0,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,15378.0,Sudden Death
Peter Travers,rotten,114576.0,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,15378.0,Sudden Death
Kevin Thomas,fresh,114576.0,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,15378.0,Sudden Death
Roger Ebert,fresh,114576.0,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01,15378.0,Sudden Death
Richard Harrington,fresh,114576.0,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,15378.0,Sudden Death
Desson Thomson,rotten,114576.0,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,15378.0,Sudden Death
James Berardinelli,rotten,114576.0,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,15378.0,Sudden Death
Anthony Lane,fresh,113189.0,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,12812.0,GoldenEye
Owen Gleiberman,rotten,113189.0,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,12812.0,GoldenEye
Jonathan Rosenbaum,fresh,113189.0,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,12812.0,GoldenEye
Richard Schickel,rotten,113189.0,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13,12812.0,GoldenEye
Todd McCarthy,fresh,113189.0,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,12812.0,GoldenEye
,fresh,113189.0,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,12812.0,GoldenEye
Janet Maslin,rotten,113189.0,New York Times,Suffers the blahs.,2003-05-20,12812.0,GoldenEye
Peter Stack,fresh,113189.0,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18,12812.0,GoldenEye
Rick Groen,rotten,113189.0,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,12812.0,GoldenEye
Kenneth Turan,rotten,113189.0,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13,12812.0,GoldenEye
Susan Wloszczyna,fresh,113189.0,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01,12812.0,GoldenEye
Hal Hinson,fresh,113189.0,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01,12812.0,GoldenEye
James Berardinelli,fresh,113189.0,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01,12812.0,GoldenEye
Roger Ebert,fresh,113189.0,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01,12812.0,GoldenEye
Geoff Andrew,fresh,112346.0,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,10129.0,The American President
Janet Maslin,fresh,112346.0,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,10129.0,The American President
Kenneth Turan,fresh,112346.0,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13,10129.0,The American President
,fresh,112346.0,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,10129.0,The American President
Richard Corliss,fresh,112346.0,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,10129.0,The American President
James Berardinelli,rotten,112346.0,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,10129.0,The American President
Tom Keogh,fresh,112346.0,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,10129.0,The American President
Sean Means,fresh,112346.0,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,10129.0,The American President
Susan Stark,fresh,112346.0,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,10129.0,The American President
Roger Ebert,fresh,112346.0,Chicago Sun-Times,Great entertainment.,2000-01-01,10129.0,The American President
Desson Thomson,fresh,112346.0,Washington Post,A well-modulated charmer.,2000-01-01,10129.0,The American President
Paula Nechak,fresh,112346.0,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,10129.0,The American President
Rita Kempley,fresh,112346.0,Washington Post,Frothy.,2000-01-01,10129.0,The American President
Edward Guthmann,fresh,112346.0,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,10129.0,The American President
John Hartl,fresh,112346.0,Film.com,Painless fun.,2000-01-01,10129.0,The American President
Mike Clark,fresh,112346.0,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01,10129.0,The American President
Susan Rathke,rotten,112346.0,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,10129.0,The American President
Owen Gleiberman,fresh,112346.0,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10129.0,The American President
Jonathan Rosenbaum,rotten,112896.0,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445.0,Dracula: Dead and Loving It
Joe Leydon,rotten,112896.0,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445.0,Dracula: Dead and Loving It
,rotten,112896.0,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445.0,Dracula: Dead and Loving It
Janet Maslin,fresh,112896.0,New York Times,Slight but amusing.,2003-05-20,10445.0,Dracula: Dead and Loving It
David Kronke,rotten,112896.0,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445.0,Dracula: Dead and Loving It
James Berardinelli,rotten,112896.0,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445.0,Dracula: Dead and Loving It
Hal Hinson,rotten,112896.0,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112896.0,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Desson Thomson,rotten,112896.0,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Mick LaSalle,fresh,112896.0,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112453.0,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562.0,Balto
Geoff Andrew,rotten,113987.0,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,16248.0,Nixon
Janet Maslin,fresh,113987.0,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,16248.0,Nixon
Hal Hinson,fresh,113987.0,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,16248.0,Nixon
Kenneth Turan,fresh,113987.0,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,16248.0,Nixon
Todd McCarthy,rotten,113987.0,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,16248.0,Nixon
James Berardinelli,fresh,113987.0,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,16248.0,Nixon
John Hartl,rotten,113987.0,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,16248.0,Nixon
Mick LaSalle,rotten,113987.0,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01,16248.0,Nixon
Roger Ebert,fresh,113987.0,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,16248.0,Nixon
Susan Stark,fresh,113987.0,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,16248.0,Nixon
Desson Thomson,fresh,113987.0,Washington Post,You will not be bored.,2000-01-01,16248.0,Nixon
Stanley Kauffmann,fresh,113987.0,The New Republic,The picture is a case study.,2000-01-01,16248.0,Nixon
Sean Means,fresh,113987.0,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01,16248.0,Nixon
Emily White,rotten,113987.0,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01,16248.0,Nixon
Mike Clark,fresh,113987.0,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,16248.0,Nixon
Lyall Bush,rotten,113987.0,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,16248.0,Nixon
Richard Corliss,rotten,113987.0,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,16248.0,Nixon
Todd McCarthy,rotten,112760.0,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,10672.0,Cutthroat Island
Trevor Johnston,rotten,112760.0,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,10672.0,Cutthroat Island
Janet Maslin,rotten,112760.0,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,10672.0,Cutthroat Island
Susan Wloszczyna,fresh,112760.0,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,10672.0,Cutthroat Island
Desson Thomson,rotten,112760.0,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,10672.0,Cutthroat Island
Owen Gleiberman,fresh,112641.0,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,13456.0,Casino
Richard Schickel,fresh,112641.0,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,13456.0,Casino
Jonathan Rosenbaum,rotten,112641.0,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25,13456.0,Casino
Todd McCarthy,fresh,112641.0,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16,13456.0,Casino
David Ansen,rotten,112641.0,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31,13456.0,Casino
Hal Hinson,rotten,112641.0,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",2006-08-09,13456.0,Casino
Geoff Andrew,rotten,112641.0,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2006-02-09,13456.0,Casino
Janet Maslin,fresh,112641.0,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",2003-05-20,13456.0,Casino
Mick LaSalle,rotten,112641.0,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",2002-06-18,13456.0,Casino
Rick Groen,fresh,112641.0,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",2002-04-12,13456.0,Casino
Peter Travers,fresh,112641.0,Rolling Stone,[A] Vegas masterpiece.,2001-05-12,13456.0,Casino
Kenneth Turan,fresh,112641.0,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",2001-02-13,13456.0,Casino
Desson Thomson,rotten,112641.0,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",2000-01-01,13456.0,Casino
Roger Ebert,fresh,112641.0,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,2000-01-01,13456.0,Casino
James Berardinelli,fresh,112641.0,ReelViews,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",2000-01-01,13456.0,Casino
Mike Clark,fresh,112641.0,USA Today,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",2000-01-01,13456.0,Casino
Todd McCarthy,fresh,114388.0,Variety,Thompson's script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,2009-01-30,10042.0,Sense and Sensibility
Jonathan Rosenbaum,fresh,114388.0,Chicago Reader,I can't say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,2007-02-09,10042.0,Sense and Sensibility
Geoff Andrew,fresh,114388.0,Time Out,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,2006-06-24,10042.0,Sense and Sensibility
Janet Maslin,fresh,114388.0,New York Times,We need no further proof that this material is ageless.,2003-05-21,10042.0,Sense and Sensibility
Kenneth Turan,fresh,114388.0,Los Angeles Times,"The sensibility may be a bit off, but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.",2001-02-13,10042.0,Sense and Sensibility
Louis B. Parks,fresh,114388.0,Houston Chronicle,The film is packed with pleasing performances by stage-trained actors.,2000-01-01,10042.0,Sense and Sensibility
James Berardinelli,fresh,114388.0,ReelViews,Told with deft skill and a pleasantly humorous romantic touch.,2000-01-01,10042.0,Sense and Sensibility
Susan Stark,fresh,114388.0,Detroit News,It's bliss.,2000-01-01,10042.0,Sense and Sensibility
John Hartl,fresh,114388.0,Film.com,"A triumph for Taiwan's most famous director, Ang Lee.",2000-01-01,10042.0,Sense and Sensibility
Sean Means,fresh,114388.0,Film.com,Thompson's script hits its peak by keeping Austen's voice yet finding the satirical smirk behind it.,2000-01-01,10042.0,Sense and Sensibility
Bruce Reid,fresh,114388.0,Film.com,"Sense and Sensibility is funny, expansive, and a delight to spend company with.",2000-01-01,10042.0,Sense and Sensibility
Mike Clark,fresh,114388.0,USA Today,"The movie is good fun, boasting a dozen vivid characters and two that moviegoers will take to heart.",2000-01-01,10042.0,Sense and Sensibility
